angDist,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,numax,e_numax,dnu,e_dnu,Teff,e_Teff,logg,e_logg,M,e_M,Prot,e_Prot,Crowding,Tcrit,Vsini,e_Vsini,_RA,_DE
0.003996,298.81076,47.14247,10162765, ,4949,2.833,0.21,10.22,2.594,0.00342,1161.304,0.525,DSEP,,1,Simbad,298.81076,47.14247,298.81076,47.14247111,10162765,90.61,3.67,6.82,0.18,5011,182,2.88,0.02,3.25,0.32,128.62,7.33,1,4.36,0,0,298.81076,47.142471
0.003996,283.939,49.64239,11597759, ,4812,2.361,-0.38,15.286,1.958,7.72E-04,2542.479,0.278,DSEP,,1,Simbad,283.939,49.64239,283.939,49.64239111,11597759,29.43,1.71,3.78,0.11,4999,275,2.39,0.03,1.18,0.16,46.11,2.52,0.99,7.86,11.24,1.07,283.939,49.642391
0.006984,286.31516,42.21842,6761672, ,5013,2.394,0.07,19.813,3.549,6.43E-04,6233.913,0.359,DSEP,,1,Simbad,286.31516,42.21842,286.31516,42.21841806,6761672,31.3,1.77,3.9,1.78,5013,264,2.42,0.03,1.25,1.15,47.73,4.83,0.99,7.62,0,0,286.31516,42.218418
0.003996,287.91516,38.64078,3532985, ,4918,2.889,0.21,9.169,2.376,0.00434,1071.047,0.417,DSEP,,1,Simbad,287.91516,38.64078,287.91516,38.64078111,3532985,94.84,10.8,7.92,0.27,4752,122,2.89,0.05,1.89,0.4,6.03,0.29,0.99,3.75,0,0,287.91516,38.640781
0.003996,290.07764,50.70902,12157006, ,4807,2.503,-0.16,13.247,2.038,0.00123,716.255,0.306,DSEP,,1,Simbad,290.07764,50.70902,290.07764,50.70901889,12157006,38.58,2.57,4.22,0.12,5021,239,2.51,0.03,1.72,0.24,116.8,3.34,1,7.04,0,0,290.07764,50.709019
0.003996,286.61545,42.24956,6762328, ,5000,2.369,0.07,20.453,3.572,5.88E-04,6700.877,0.363,DSEP,,1,Simbad,286.61545,42.24956,286.61545,42.24956111,6762328,29.37,1.54,3.59,0.11,5000,295,2.39,0.03,1.44,0.19,57.56,5.21,1,8.27,0,0,286.61545,42.249561
0.003996,290.28189,50.76344,12157360, ,5039,2.567,0.07,15.332,3.165,0.00124,4326.971,0.337,DSEP,,1,Simbad,290.28189,50.76344,290.28189,50.76343889,12157360,42.29,2.41,4.74,0.61,5039,215,2.55,0.03,1.43,0.4,76.47,6.61,1,6.27,0,0,290.28189,50.763439
0.003996,284.70514,39.37004,4241405, ,4802,2.385,-0.32,14.954,1.98,8.34E-04,4076.304,0.359,DSEP,,1,Simbad,284.70514,39.37004,284.70514,39.37004111,4241405,30.29,1.78,3.8,0.12,4802,119,2.4,0.03,1.18,0.15,57.96,4.54,0.99,7.82,0,0,284.70514,39.370041
0.003996,299.86182,45.91826,9427961, ,5033,2.945,-0.08,8.012,2.064,0.00565,1101.133,0.563,DSEP,,1,Simbad,299.86182,45.91826,299.86182,45.91825889,9427961,106.85,4.87,8.45,0.22,4911,108,2.95,0.02,2.2,0.22,87.84,10.02,1,3.51,0,0,299.86182,45.918259
0.003996,294.18182,40.56743,5370814, ,5067,3.125,0.36,7.032,2.403,0.00973,2384.653,0.6,DSEP,,1,Simbad,294.18182,40.56743,294.18182,40.56742889,5370814,160.71,13.88,12.76,0.46,5013,116,3.13,0.04,1.48,0.25,61.69,3.32,0.98,2.33,0,0,294.18182,40.567429
0.006984,284.76434,44.55871,8480233, ,4799,2.358,-0.72,10.128,0.851,0.00115,2647.547,0.317,DSEP,,1,Simbad,284.76434,44.55871,284.76434,44.55870806,8480233,28.6,2.17,3.96,0.53,5026,138,2.38,0.04,0.9,0.27,94.15,7.1,1,7.5,0,0,284.76434,44.558708
0.003996,290.18146,41.06339,5785879, ,4700,2.433,0,14.565,2.095,9.55E-04,1575.02,0.451,DSEP,,1,Simbad,290.18146,41.06339,290.18146,41.06338889,5785879,32.6,1.88,3.97,0.57,4809,164,2.43,0.03,1.24,0.38,124.3,5.11,0.99,7.48,0,0,290.18146,41.063389
