angDist,_RAJ2000,_DEJ2000,KIC,numax,e_numax,Dnu,e_Dnu,DPi1,e_DPi1,q,e_q,eps,e_eps,dnurot,e_dnurot,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE
0.0072,286.22421,37.689732,2283721,79.78,1.01,7.85,0.04,66.37,0.04,0.15,0.02,0.255,0.098,970,26,Simbad,286.22421,37.689732,286.22421,37.68973,2283721, ,4754,2.808,-0.18,6.42,0.967,0.00515,1589.398,0.408,DSEP,,1,Simbad,286.22421,37.68973
0.0072,286.91669,37.679272,2285827,167.99,1.98,13.28,0.06,82.25,0.05,0.12,0.02,0.188,0.045,390,17,Simbad,286.91669,37.679272,286.91669,37.67927,2285827, ,4787,3.133,0.3,5.619,1.564,0.0124,1309.074,0.42,DSEP,,1,Simbad,286.91669,37.67927
0,290.26193,37.62492,2297785,48.1,0.6,4.69,0.04,289.55,0.19,0.24,0.03,-0.104,0.052,22,7,Simbad,290.26193,37.62492,290.26193,37.62492,2297785, ,4954,2.605,0.07,13.887,2.829,0.00149,2056.203,0.523,DSEP,,1,Simbad,290.26193,37.62492
0.0072,290.76385,37.633598,2299926,41.07,0.57,4.47,0.04,304.87,0.3,0.26,0.03,-0.101,0.078,25,7,Simbad,290.76385,37.633598,290.76385,37.6336,2299926, ,5001,2.54,-0.5,12.79,2.071,0.00139,2247.865,0.542,DSEP,,1,Simbad,290.76385,37.6336
0.0036,290.97653,37.676659,2300853,34.8,0.52,4.09,0.04,312.22,0.26,0.28,0.03,0.09,0.082,40,10,Simbad,290.97653,37.676659,290.97653,37.67666,2300853, ,4904,2.46,0.21,17.945,3.389,8.26E-04,5018.596,0.549,DSEP,,1,Simbad,290.97653,37.67666
0.0036,291.15247,37.683521,2301577,35.29,0.54,4.26,0.04,318.26,0.24,0.24,0.03,-0.14,0.07,50,12,Simbad,291.15247,37.683521,291.15247,37.68352,2301577, ,4842,2.468,-0.46,11.954,1.532,0.00126,3421.601,0.556,DSEP,,1,Simbad,291.15247,37.68352
0.0072,291.47693,37.672562,2303101,171.07,2.06,13.79,0.06,84.31,0.02,0.13,0.02,0.285,0.015,620,15,Simbad,291.47693,37.672562,291.47693,37.67256,2303101, ,4936,3.113,0.22,6.501,2,0.0103,1859.132,0.567,DSEP,,1,Simbad,291.47693,37.67256
0.0036,291.53671,37.673389,2303367,34.2,0.51,4.05,0.04,308.7,0.15,0.28,0.03,-0.053,0.047,30,7,Simbad,291.53671,37.673389,291.53671,37.67339,2303367, ,4857,2.421,0.21,18.843,3.41,7.18E-04,1323.156,0.545,DSEP,,1,Simbad,291.53671,37.67339
0,291.9389,37.68824,2305145,107.26,1.17,8.36,0.05,213.27,0.56,0.23,0.03,-0.163,0.125,40,10,Simbad,291.9389,37.68824,291.9389,37.68824,2305145, ,5046,2.946,0.07,8.861,2.531,0.00512,2491.855,0.589,DSEP,,1,Simbad,291.9389,37.68824
0.0072,292.01202,37.697418,2305479,79.08,0.97,7.49,0.04,68.71,0.02,0.14,0.02,-0.182,0.052,350,13,Simbad,292.01202,37.697418,292.01202,37.69742,2305479, ,4644,2.811,0.28,8.151,1.566,0.00407,1565.347,0.578,DSEP,,1,Simbad,292.01202,37.69742
0.0036,292.11899,37.665909,2305992,100.65,1.18,8.94,0.04,74.52,0.05,0.11,0.02,0.204,0.1,600,21,Simbad,292.11899,37.665909,292.11899,37.66591,2305992, ,4766,2.916,0.1,7.053,1.494,0.006,1108.201,0.535,DSEP,,1,Simbad,292.11899,37.66591
0.0072,292.59631,37.695358,2308196,71.79,0.92,7.07,0.04,69.76,0.04,0.13,0.02,0.237,0.143,,,Simbad,292.59631,37.695358,292.59631,37.69536,2308196, ,5075,2.783,-0.42,9.36,1.939,0.00333,3513.976,0.62,DSEP,,1,Simbad,292.59631,37.69536
0.0036,292.89111,37.669991,2309550,48.9,0.64,5.02,0.04,313.07,0.28,0.27,0.03,-0.001,0.063,20,7,Simbad,292.89111,37.669991,292.89111,37.66999,2309550, ,4861,2.604,0.07,13.462,2.657,0.00153,663.934,0.405,DSEP,,1,Simbad,292.89111,37.66999
0.0072,293.02576,37.695808,2310129,51.7,0.65,5.07,0.04,313.35,0.42,0.25,0.03,0.019,0.089,20,7,Simbad,293.02576,37.695808,293.02576,37.69581,2310129, ,4855,2.727,0.21,11.369,2.514,0.00241,1141.477,0.566,DSEP,,1,Simbad,293.02576,37.69581
0.0036,286.05273,37.725319,2422558,110.58,1.27,9.36,0.05,74.38,0.08,0.11,0.02,0.175,0.148,420,22,Simbad,286.05273,37.725319,286.05273,37.72532,2422558, ,4756,2.955,0.32,7.424,1.812,0.00624,1882.999,0.404,DSEP,,1,Simbad,286.05273,37.72532
0.0072,286.84583,37.785252,2424934,33.3,0.49,3.9,0.03,328.41,0.19,0.29,0.03,0.077,0.055,30,7,Simbad,286.84583,37.785252,286.84583,37.78525,2424934, ,4818,2.425,-0.3,14.304,1.987,9.56E-04,1123.148,0.41,DSEP,,1,Simbad,286.84583,37.78525
0.0036,290.14523,37.774971,2436417,27.07,0.43,3.4,0.03,305.6,0.31,0.2,0.03,-0.058,0.133,50,12,Simbad,290.14523,37.774971,290.14523,37.77497,2436417, ,4496,2.324,0.36,17.915,2.465,6.04E-04,6402.52,0.516,DSEP,,1,Simbad,290.14523,37.77497
0,290.14935,37.70715,2436457,103.44,1.29,9.64,0.05,75.98,0.02,0.13,0.02,0.123,0.04,180,12,Simbad,290.14935,37.70715,290.14935,37.70715,2436457, ,5121,2.931,0.07,9.167,2.614,0.00478,2979.993,0.518,DSEP,,1,Simbad,290.14935,37.70715
0.0036,290.21848,37.787571,2437325,93.64,1.17,8.53,0.05,75.16,0.04,0.15,0.03,0.236,0.082,,,Simbad,290.21848,37.787571,290.21848,37.78757,2437325, ,4665,2.715,0.44,10.736,2.179,0.00248,6997.123,0.518,DSEP,,1,Simbad,290.21848,37.78757
0.0036,290.26898,37.781509,2437976,89.37,1.1,8.22,0.05,74.7,1,0.1,0.02,-0.006,0.095,320,30,Simbad,290.26898,37.781509,290.26898,37.78151,2437976, ,4650,2.845,0.44,8.421,1.812,0.00427,5385.288,0.52,DSEP,,1,Simbad,290.26898,37.78151
0.0072,290.27625,37.749908,2438051,30.46,0.46,3.66,0.03,250.31,0.16,0.24,0.03,-0.124,0.087,30,7,Simbad,290.27625,37.749908,290.27625,37.74991,2438051, ,4741,2.387,0.36,20.054,3.575,6.24E-04,7815.065,0.521,DSEP,,1,Simbad,290.27625,37.74991
0.0072,290.30899,37.782742,2438368,85.25,0.93,6.97,0.04,246.32,0.51,0.22,0.03,-0.187,0.106,40,10,Simbad,290.30899,37.782742,290.30899,37.78274,2438368, ,4965,3.041,-0.04,6.549,1.718,0.00862,885.316,0.447,DSEP,,1,Simbad,290.30899,37.78274
0,291.13959,37.70126,2441995,29.5,0.51,4.05,0.04,325.09,0.18,0.41,0.05,-0.023,0.06,60,13,Simbad,291.13959,37.70126,291.13959,37.70126,2441995, ,4758,2.374,-0.38,13.44,1.558,9.04E-04,1662.887,0.549,DSEP,,1,Simbad,291.13959,37.70126
0,291.25491,37.71492,2442483,99.61,1.23,9.3,0.05,76.39,0.06,0.14,0.02,0.26,0.092,300,18,Simbad,291.25491,37.71492,291.25491,37.71492,2442483, ,4740,2.9,-0.1,5.721,0.949,0.00714,1550.716,0.549,DSEP,,1,Simbad,291.25491,37.71492
0.0072,291.57059,37.764648,2443903,66.76,0.9,7.01,0.04,71.1,0.02,0.12,0.02,-0.184,0.078,360,4,Simbad,291.57059,37.764648,291.57059,37.76465,2443903, ,4806,2.725,-0.42,6.638,0.853,0.00411,1014.171,0.501,DSEP,,1,Simbad,291.57059,37.76465
